"","hhidpn","wave","tot_finw","income","age","female","hi_school","college","married","if_child","empl","selfempl","socladder"
"39903",526925020,13,113226.04,303230.24970278,54.000001,1,1,0,1,1,1,0,6
"16587",78644030,9,841.45459,28272.8874730054,78.000002,0,0,0,1,0,0,0,5
"43033",903275010,12,28205.781,107140.445576057,55.999999,1,0,1,0,0,0,1,6
"28053",210720020,10,71214.094,32445.1488036116,86.000004,1,0,0,0,1,0,0,6
"33121",501054010,11,1.1272551,23672.3610472659,59.000001,0,1,0,0,1,0,1,7
"11964",52169020,12,163987.09,67479.5770501787,78.000002,1,1,0,1,1,0,0,6
"44321",911252010,13,28036.924,167531.36989897,64.000001,1,0,1,1,1,1,0,6
"34794",501695010,11,285.19553,99036.0923285474,60.999999,1,0,1,0,1,0,0,3
"42943",902684010,12,1.0932473,3935.69028764136,58.000002,1,0,0,0,1,1,0,5
"19277",90841030,12,1.0932473,277247.588253565,59.000001,1,1,0,0,1,1,0,7
"28673",211511010,8,67655.453,279161.840625655,75.999999,1,0,0,1,1,0,0,5
"20479",122425020,9,32456.105,33148.4899124085,55.999999,1,1,0,1,1,0,0,8
"1258",14568020,12,941733.19,284295.858184539,75.999999,1,0,1,0,1,0,0,9
"33938",501381020,10,391677.5,314481.321467379,60.999999,0,0,1,1,1,1,0,7
"4931",30423020,15,180000,1466400.53811117,80,1,0,0,0,1,0,0,6
"3166",20527010,8,108864.95,168032.038007056,65.999999,0,0,1,1,1,0,0,8
"22246",146110010,9,601.039,88953.7736054384,60.999999,0,1,0,1,1,0,0,6
"18290",84709040,8,70608.156,139624.388776277,76.999998,1,1,0,1,1,0,1,9
"39790",526623010,12,1.0932473,23010.6761958708,59.000001,0,0,0,0,1,0,0,3
"36210",502264020,11,1.1272551,1,56.999998,0,0,0,1,1,0,0,4
"2425",17923011,14,1040986.9,200081.301928657,70.999999,1,0,1,1,1,0,0,9
"16224",77766010,10,188479.97,196156.934359904,70,1,0,1,0,1,0,1,5
"15261",74297010,15,204000,535312.069648345,79.000001,0,0,1,1,1,1,0,10
"31633",500473020,13,8626.7461,91874.8498224948,63.000002,0,1,0,1,1,0,0,9
"40826",529474010,14,535953.69,989453.251921859,56.999998,1,1,0,1,0,0,1,9
"19696",114187020,13,203806.88,62781.1414069991,73.000002,1,0,1,1,1,0,0,7
"28864",211762010,8,5135.1387,59942.4727924948,75,0,1,0,1,1,0,0,6
"8986",43977010,9,1081.8702,78288.9519998256,71.999998,0,0,0,1,1,0,0,8
"10281",47660020,9,42072.73,57247.7677006467,76.999998,0,0,0,1,1,0,0,6
"35897",502129010,14,401965.25,232884.149010421,69.000001,0,0,1,1,1,0,0,7
"20508",122549020,10,42135.004,235604.596462721,56.999998,1,1,0,1,1,1,0,7
"24449",183537010,12,16398.709,105292.851488179,70,0,1,0,0,1,0,0,7
"34290",501520020,13,136949.59,398733.877440121,64.000001,0,0,1,1,1,1,0,7
"43523",906084020,12,3826.3657,158704.483286663,55,0,1,0,1,1,1,0,9
"17038",80614030,11,817259.94,352425.135891883,65,1,1,0,1,1,1,0,8
